Date,Adj. Close
2016-10-24,6.92
2016-10-25,6.5
2016-10-26,6.36
2016-10-27,6.29
2016-10-28,6.31
2016-10-31,6.16
2016-11-01,6.17
2016-11-02,5.95
2016-11-03,6.07
2016-11-04,6.13
2016-11-07,6.18
2016-11-08,6.27
2016-11-09,7.11
2016-11-10,7.08
2016-11-11,7.1
2016-11-14,7.5
2016-11-15,7.74
2016-11-16,7.68
2016-11-17,7.49
2016-11-18,7.35
2016-11-21,7.45
2016-11-22,7.65
2016-11-23,7.69
2016-11-25,7.89
2016-11-28,7.86
2016-11-29,8.0
2016-11-30,7.84
2016-12-01,7.94
2016-12-02,7.98
2016-12-05,8.05
2016-12-07,7.36670048769
2016-12-08,7.62892971963
2016-12-09,7.66871722227
2016-12-12,7.90247709924
2016-12-13,7.74702669133
2016-12-14,7.91424867516
2016-12-15,7.67524859985
2016-12-16,7.83846338861
2016-12-19,7.87810045438
2016-12-20,7.95603271326
