Date,Adj. Close
2016-10-24,835.74
2016-10-25,828.55
2016-10-26,822.1
2016-10-27,817.35
2016-10-28,819.56
2016-10-31,809.9
2016-11-01,805.48
2016-11-02,788.42
2016-11-03,782.19
2016-11-04,781.1
2016-11-07,802.03
2016-11-08,811.98
2016-11-09,805.59
2016-11-10,780.29
2016-11-11,771.75
2016-11-14,753.22
2016-11-15,775.16
2016-11-16,779.98
2016-11-17,786.16
2016-11-18,775.97
2016-11-21,784.8
2016-11-22,785.0
2016-11-23,779.0
2016-11-25,780.23
2016-11-28,785.79
2016-11-29,789.44
2016-11-30,775.76
2016-12-01,764.33
2016-12-02,764.46
2016-12-05,778.22
2016-12-07,781.73676373
2016-12-08,781.05449268
2016-12-09,776.195074166
2016-12-12,774.602086398
2016-12-13,790.011954289
2016-12-14,786.566313737
2016-12-15,774.068609496
2016-12-16,763.580682304
2016-12-19,763.636952069
2016-12-20,776.482943626
