date	close
13-Dec-10	42.07328806
14-Dec-10	41.89278898
15-Dec-10	41.90194473
16-Dec-10	42.01835356
17-Dec-10	41.93464384
20-Dec-10	42.14391813
21-Dec-10	42.40485701
22-Dec-10	42.5297676
23-Dec-10	42.32572517
27-Dec-10	42.46698531
28-Dec-10	42.5703145
29-Dec-10	42.54677114
30-Dec-10	42.33357295
31-Dec-10	42.18969688
3-Jan-11	43.10657986
4-Jan-11	43.33154973
5-Jan-11	43.68600805
6-Jan-11	43.65069302
7-Jan-11	43.96329649
10-Jan-11	44.79189188
11-Jan-11	44.68529279
12-Jan-11	45.04890687
13-Jan-11	45.21371037
14-Jan-11	45.57994038
18-Jan-11	44.55580432
19-Jan-11	44.31906278
20-Jan-11	43.51335676
21-Jan-11	42.73381003
24-Jan-11	44.13725574
25-Jan-11	44.65390165
26-Jan-11	44.9743529
27-Jan-11	44.89064319
28-Jan-11	43.96068056
31-Jan-11	44.38184507
1-Feb-11	45.12869269
2-Feb-11	45.03582723
3-Feb-11	44.92072637
4-Feb-11	45.32096345
7-Feb-11	46.02464825
8-Feb-11	46.4588924
9-Feb-11	46.84604983
10-Feb-11	46.37256675
11-Feb-11	46.67470651
14-Feb-11	46.97946219
15-Feb-11	47.07363562
16-Feb-11	47.4961081
17-Feb-11	46.86436133
18-Feb-11	45.85199696
22-Feb-11	44.2889796
23-Feb-11	44.81347329
24-Feb-11	44.84748036
25-Feb-11	45.53808552
28-Feb-11	46.1986075
1-Mar-11	45.68850142
2-Mar-11	46.05603939
3-Mar-11	47.02916484
4-Mar-11	47.08671527
7-Mar-11	46.47981983
8-Mar-11	46.5321384
9-Mar-11	46.10181814
10-Mar-11	45.34319884
11-Mar-11	46.03903585
14-Mar-11	46.24438625
15-Mar-11	45.18101126
16-Mar-11	43.16413029
17-Mar-11	43.76971777
18-Mar-11	43.25045594
21-Mar-11	44.37922914
22-Mar-11	44.62774236
23-Mar-11	44.36484153
24-Mar-11	45.12084491
25-Mar-11	45.98017746
28-Mar-11	45.83630138
29-Mar-11	45.90431553
30-Mar-11	45.59955984
31-Mar-11	45.58353728
1-Apr-11	45.06721837
4-Apr-11	44.6264344
5-Apr-11	44.3256026
6-Apr-11	44.21442564
7-Apr-11	44.21965749
8-Apr-11	43.82465227
11-Apr-11	43.26745947
12-Apr-11	43.47673376
13-Apr-11	43.96460445
14-Apr-11	43.47934969
15-Apr-11	42.83059939
18-Apr-11	43.40479573
19-Apr-11	44.19088228
20-Apr-11	44.78600604
21-Apr-11	45.86978527
25-Apr-11	46.17231742
26-Apr-11	45.83368546
27-Apr-11	45.79837042
28-Apr-11	45.35366255
29-Apr-11	45.79575449
2-May-11	45.29218823
3-May-11	45.54331738
4-May-11	45.72250849
5-May-11	45.35366255
6-May-11	45.34189087
9-May-11	45.46483952
10-May-11	45.70681292
11-May-11	45.41644484
12-May-11	45.3301192
13-May-11	44.53618486
16-May-11	43.59445055
17-May-11	43.96591242
18-May-11	44.45378311
19-May-11	44.54010875
20-May-11	43.8455797
23-May-11	43.73832663
24-May-11	43.44926651
25-May-11	44.04962213
26-May-11	43.81680449
27-May-11	44.13202388
31-May-11	45.4949227
1-Jun-11	45.19147498
2-Jun-11	45.26890647
3-Jun-11	44.92072637
6-Jun-11	44.21442564
7-Jun-11	43.42964705
8-Jun-11	43.45580634
9-Jun-11	43.35770901
10-Jun-11	42.62655696
13-Jun-11	42.71811446
14-Jun-11	43.48196562
15-Jun-11	42.73773393
16-Jun-11	42.5297676
17-Jun-11	41.88886509
20-Jun-11	41.24273072
21-Jun-11	42.5480791
22-Jun-11	42.1962367
23-Jun-11	43.32370194
24-Jun-11	42.68541535
