date	close
24-Aug-16	793.6
25-Aug-16	791.3
26-Aug-16	793.22
29-Aug-16	795.82
30-Aug-16	791.92
31-Aug-16	789.68
1-Sep-16	791.4
2-Sep-16	796.87
6-Sep-16	808.02
7-Sep-16	807.99
8-Sep-16	802.84
9-Sep-16	788.48
12-Sep-16	798.82
13-Sep-16	788.72
14-Sep-16	790.46
15-Sep-16	801.23
16-Sep-16	797.61
19-Sep-16	795.39
20-Sep-16	799.78
21-Sep-16	805.03
22-Sep-16	815.95
23-Sep-16	814.96
26-Sep-16	802.65
27-Sep-16	810.73
28-Sep-16	810.06
29-Sep-16	802.64
30-Sep-16	804.06
3-Oct-16	800.38
4-Oct-16	802.79
5-Oct-16	801.23
6-Oct-16	803.08
7-Oct-16	800.71
10-Oct-16	814.17
11-Oct-16	809.57
12-Oct-16	811.77
13-Oct-16	804.08
14-Oct-16	804.60
17-Oct-16	806.84
18-Oct-16	821.49
19-Oct-16	827.09
20-Oct-16	821.63
21-Oct-16	823.73
22-Oct-16   819.56
23-Oct-16   809.90
24-Oct-16   805.04
25-Oct-16   788.42
26-Oct-16   782.19
27-Oct-16   781.10
28-Oct-16   802.03
29-Oct-16   811.98
30-Oct-16   805.59
31-Oct-16   780.29
01-Nov-16   771.56
02-Nov-16   753.22
03-Nov-16   775.16
04-Nov-16   779.98
