Date,Adj. Close
2016-10-24,51.88
2016-10-25,51.75
2016-10-26,51.0
2016-10-27,51.0
2016-10-28,50.45
2016-10-31,54.47
2016-11-01,56.12
2016-11-02,54.06
2016-11-03,54.61
2016-11-04,54.82
2016-11-07,54.64
2016-11-08,54.83
2016-11-09,57.12
2016-11-10,57.34
2016-11-11,57.28
2016-11-14,57.66
2016-11-15,58.07
2016-11-16,58.01
2016-11-17,58.41
2016-11-18,58.72
2016-11-21,58.78
2016-11-22,58.7
2016-11-23,59.3
2016-11-25,59.66
2016-11-28,59.32
2016-11-29,59.44
2016-11-30,58.4
2016-12-01,58.87
2016-12-02,58.3
2016-12-05,58.55
2016-12-07,57.9499516963
2016-12-08,57.9303277596
2016-12-09,58.4072791544
2016-12-12,58.7592170091
2016-12-13,58.645914896
2016-12-14,58.7163318847
2016-12-15,58.2204017115
2016-12-16,58.2229204454
2016-12-19,57.8882525086
2016-12-20,57.9362529935
