,Predicted
0,759.843274619
1,769.043861463
2,778.759338954
3,779.711220067
4,775.945861508
5,778.817244238
6,780.498091532
7,778.487245584
8,773.544270048
9,787.965762487
10,784.84733778
11,777.644846538
12,770.200506711
13,762.520242076
