,text,polarity,subjectivity,date
436,RT @businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/K2rCNs6ad6 htt…,-0.6,0.9,2016-10-16 04:10:34
586,Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/W6g11ddiBj https://t.co/ntwOh5W9rZ,-0.6,0.9,2016-10-15 11:10:22
590,RT @perry_sharon_: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/RQHHnOJ5Hb https…,-0.6,0.9,2016-10-15 11:07:24
588,Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/AGvUy9itFp https://t.co/327LNjQBe1,-0.6,0.9,2016-10-15 11:09:22
600,businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL … https://t.co/3daoCL3vrA,-0.6,0.9,2016-10-15 11:04:03
876,Publishers are pleasantly surprised by Google #AMP traffic. https://t.co/m3zFn3LUeh $GOOGL 10/13 close: 804.08 $FB… https://t.co/OYPuALfrOJ,0.1,0.9,2016-10-14 09:29:12
1034,RT @businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/DfI3QTZnr5 htt…,-0.6,0.9,2016-10-13 20:19:25
589,RT @SAI: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/0NwN6re4EK https://t.co/Gp…,-0.6,0.9,2016-10-15 11:08:16
719,"Here Is Every Twitter Takeover Rumor Of 2016 $AAPL $GOOGL $CMCSA $CRM $MSFT https://t.co/pDnodlTcMD via @benzinga
Welcome to ""Scam Street"".",0.8,0.9,2016-10-14 19:34:13
606,Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/K2rCNs6ad6 https://t.co/WiGogvn3hw,-0.6,0.9,2016-10-15 11:02:10
604,RT @businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/K2rCNs6ad6 htt…,-0.6,0.9,2016-10-15 11:02:27
603,businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/jQnldsanG8 …,-0.6,0.9,2016-10-15 11:02:27
602,Business LOTP update: businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL …,-0.6,0.9,2016-10-15 11:02:58
601,Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/RQHHnOJ5Hb https://t.co/pPzm5eLoHl,-0.6,0.9,2016-10-15 11:03:07
605,Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/0NwN6re4EK https://t.co/GpYprEIbwe,-0.6,0.9,2016-10-15 11:02:11
599,businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL … https://t.co/o2cZvfXWOv,-0.6,0.9,2016-10-15 11:04:09
595,Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/qM44cPw5SF …,-0.6,0.9,2016-10-15 11:05:25
591,RT @businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/K2rCNs6ad6 htt…,-0.6,0.9,2016-10-15 11:06:40
592,businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL … https://t.co/GF9pmCjGYl,-0.6,0.9,2016-10-15 11:06:17
598,businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL … https://t.co/3plNVPOmDE,-0.6,0.9,2016-10-15 11:04:15
594,RT @businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/K2rCNs6ad6 htt…,-0.6,0.9,2016-10-15 11:05:37
593,businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL … https://t.co/BrwgVDpAju,-0.6,0.9,2016-10-15 11:05:45
596,RT @businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL https://t.co/K2rCNs6ad6 htt…,-0.6,0.9,2016-10-15 11:04:48
597,businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL … https://t.co/BRHnz74ekn,-0.6,0.9,2016-10-15 11:04:16
395,$GOOGL vantillian: Bro make sure ya get some $NWAV - vantillian https://t.co/maFBcnaBAG,0.5,0.888888888889,2016-10-16 14:46:04
368,RT @options_answers: $GOOGL vantillian: Bro make sure ya get some $NWAV - vantillian https://t.co/maFBcnaBAG,0.5,0.888888888889,2016-10-16 17:53:53
704,"For a quarter of users, it’s a #mobile -only world https://t.co/8jeYrgPF8d $GOOGL research, no shocks but great to know",0.4,0.875,2016-10-14 20:44:17
68,Why is Hillary cutting free speech? $tsla $uso $amzn $gnca $spy $qqq $amd dmsft $nflx $twtr $googl $vrx $vix $xom d… https://t.co/QZmfRHvwvP,-0.1,0.85,2016-10-17 15:57:59
1044,$SPY How to make #money with #stocks the easy way! https://t.co/IscHD2ZRvb #pennystocks $GOOG $GOOGL $QQQ $AAPL $AMZN $NFLX $FB $BABA $TWTR,0.541666666667,0.833333333333,2016-10-13 19:33:31
934,RT @davidmoadel: $SPY How to make #money with #stocks the easy way! https://t.co/IscHD2ZRvb #pennystocks $GOOG $GOOGL $QQQ $AAPL $AMZN $NFL…,0.541666666667,0.833333333333,2016-10-14 04:35:01
939,RT @davidmoadel: $SPY How to make #money with #stocks the easy way! https://t.co/IscHD2ZRvb #pennystocks $GOOG $GOOGL $QQQ $AAPL $AMZN $NFL…,0.541666666667,0.833333333333,2016-10-14 03:55:48
266,$SPY Why Reading the Market News Makes You a Sucker! https://t.co/2VLqZRfkZH $SPX $DIA $QQQ $IWM $TLT $GOOG $GOOGL $FB $NFLX $AMZN $AAPL $V,-0.375,0.8,2016-10-17 05:20:55
173,Is it just me or is $GOOGL advertising 10x on $TWTR lately? Maybe testing their own strategy on platform for valuation buyout? Just saying,0.15,0.8,2016-10-17 13:42:56
1031,Apple: The Free Cash Flow Behemoth https://t.co/2OQLSLMoWQ $AAPL $MSFT $ORCL $GOOG $GOOGL $CSCO,0.4,0.8,2016-10-13 20:30:03
264,RT @davidmoadel: $SPY Why Reading the Market News Makes You a Sucker! https://t.co/2VLqZRfkZH $SPX $DIA $QQQ $IWM $TLT $GOOG $GOOGL $FB $NF…,-0.375,0.8,2016-10-17 05:32:45
526,"RT @optionalarmchat: NOW OFFERING: 7 Day FREE Trial to our options day trading team Room or $TWTR Feed
https://t.co/zZPRJHn8FP
$FB $AAPL $N…",0.4,0.8,2016-10-15 15:28:39
297,"RT @optionalarmchat: NOW OFFERING: 7 Day FREE Trial to our options day trading team Room or $TWTR Feed
https://t.co/zZPRJH5xOh
$FB $AAPL $N…",0.4,0.8,2016-10-16 23:10:46
298,"RT @optionalarmchat: NOW OFFERING: 7 Day FREE Trial to our options day trading team Room or $TWTR Feed
https://t.co/zZPRJH5xOh
$FB $AAPL $N…",0.4,0.8,2016-10-16 23:10:46
303,"NOW OFFERING: 7 Day FREE Trial to our options day trading team Room or $TWTR Feed
https://t.co/zZPRJH5xOh
$FB $AAPL $NFLX $TSLA $AMZN $GOOGL",0.4,0.8,2016-10-16 23:10:16
411,"https://t.co/oj0x8FvYO4 Free Trial, Let Jason Teach U How To Discover High-Quality Stocks!   $GOOG $GOOGL $AMZN",0.5,0.8,2016-10-16 11:12:23
814,$CMG #Chipotle Stock Can Create Income for Free https://t.co/HgOymR2mNf $SPY $QQQ $DIA $GOOG $GOOGL $AMZN #options #stocks #stockmarket $TLT,0.4,0.8,2016-10-14 14:24:32
529,"NOW OFFERING: 7 Day FREE Trial to our options day trading team Room or $TWTR Feed
https://t.co/zZPRJHn8FP
$FB $AAPL $NFLX $TSLA $AMZN $GOOGL",0.4,0.8,2016-10-15 15:24:29
1007,$GOOGL seems to be the better option for music but the art is terrible.,-0.25,0.75,2016-10-13 21:12:25
1010,Great setup today! Check out $GOOGL on https://t.co/HAqDajRWAY #setups #smtulsachat #stocktoberfest,1.0,0.75,2016-10-13 21:05:06
161,$GOOGL acts great.,0.8,0.75,2016-10-17 14:02:39
160,$GOOGL acts great.,0.8,0.75,2016-10-17 14:02:39
811,$GOOGL also pinned it perfectly for 21% yield on risk. levels delivered before the Monday morning open. https://t.co/jibnJ070sC,0.5,0.75,2016-10-14 14:41:45
1052,$GOOGL definitely a bear flag developing intraday. Important to know your timeframe https://t.co/e1csMGw1RR,0.2,0.75,2016-10-13 18:56:34
83,"$GOOGL ripping higher
so far.. https://t.co/DYimjzOWBa",0.175,0.75,2016-10-17 15:33:52
22,#COSSIs $COSIQ $OIL $SNE $SPXS ITALY ( $EWI ) looking more attractive than the #FAANGs $FB $AAPL $AMZN $NFLX $GOOGL,0.65,0.75,2016-10-17 17:24:54
50,So far on this #mondaymotivation afternoon these are my 5 TOP performing #stocks $SNA $MBLY $GOOGL (&amp; $GOOG) $DPZ &amp; $GILD @caroljsroth,0.3,0.75,2016-10-17 16:26:02
703,$GOOGL vantillian: $NWAV$ HUGE TWEET WOW REAL DEAL!!!! https://t.co/GUSHAyzoTw https://t.co/qlgkNbv5E9,0.329427083333,0.733333333333,2016-10-14 20:45:48
1035,RT @davidmoadel: $AAPL #Apple’s doing something very rare and that could sent it to new highs https://t.co/NZZhWQpo4t $MSFT $QQQ $GOOG $GOO…,0.263181818182,0.727272727273,2016-10-13 20:10:57
1045,$AAPL #Apple’s doing something very rare and that could sent it to new highs https://t.co/NZZhWQpo4t $MSFT $QQQ $GOOG $GOOGL $SPY #stocks $C,0.263181818182,0.727272727273,2016-10-13 19:29:11
983,RT @davidmoadel: $AAPL #Apple’s doing something very rare and that could sent it to new highs https://t.co/NZZhWQpo4t $MSFT $QQQ $GOOG $GOO…,0.263181818182,0.727272727273,2016-10-13 22:44:26
1039,RT @davidmoadel: $AAPL #Apple’s doing something very rare and that could sent it to new highs https://t.co/NZZhWQpo4t $MSFT $QQQ $GOOG $GOO…,0.263181818182,0.727272727273,2016-10-13 19:55:33
507,Subscribe to this incredible high return trading model: https://t.co/ZZmx61g4XW $VIX $SPY $AAPL $TSLA $FB $AMZN $GOOGL $NFLX,0.53,0.72,2016-10-15 18:12:40
975,Mark Cuban – “the grand slam is going to come from deep learning and machine learning”. This is the area Google is leading in $GOOGL,0.25,0.7,2016-10-13 23:38:39
974,Mark Cuban – “the grand slam is going to come from deep learning and machine learning”. This is the area Google is leading in $GOOGL,0.25,0.7,2016-10-13 23:38:39
715,$GOOGL vantillian: still think that lol - vantillian https://t.co/GPLLx3l9Sr,0.8,0.7,2016-10-14 19:46:31
869,"Cheap call option upside: $EA calls cheaper than 96% of history, $DAL 95%, $AAPL 95%, $DIS 94%, $GOOGL 93%, $FB 93%, $PCLN 92%",0.4,0.7,2016-10-14 10:42:27
456,RT @BColwell_EMGMKT: #Baidu At The Crossroads. $bidu #emergingmarkets #autonomous #vehicles #selfdriving #cars $goog $googl $uber $tsla htt…,0.4,0.7,2016-10-16 00:59:05
849,"Will #Google’s Self-Driving Technology Ever See the Light of Day?
https://t.co/BeEpJvFH7c

#selfdrivingcar #stocks #stockmarket $GOOGL",0.4,0.7,2016-10-14 12:18:51
238,"Cheap call option upside: $EWJ calls cheaper than 98% of history, $DIS 97%, $FB 96%, $SBUX 96%, $GOOGL 96%, $DAL 95%, $CRM 94%",0.4,0.7,2016-10-17 10:41:32
868,"RT @getvolatility: Cheap call option upside: $EA calls cheaper than 96% of history, $DAL 95%, $AAPL 95%, $DIS 94%, $GOOGL 93%, $FB 93%, $PC…",0.4,0.7,2016-10-14 10:43:26
89,"$GOOGL super strong, lower dollar and we're offf",0.383333333333,0.7,2016-10-17 15:18:54
1040,RT @BColwell_EMGMKT: #Baidu At The Crossroads. $bidu #emergingmarkets #autonomous #vehicles #selfdriving #cars $goog $googl $uber $tsla htt…,0.4,0.7,2016-10-13 19:38:12
896,RT @carminegallo: Google gets serious about #storytelling. Should you? https://t.co/U0Djn5OGkR $GOOGL,-0.333333333333,0.666666666667,2016-10-14 06:43:16
894,RT @carminegallo: Google gets serious about #storytelling. Should you? https://t.co/U0Djn5OGkR $GOOGL,-0.333333333333,0.666666666667,2016-10-14 07:10:56
810,$GOOGL vantillian: $BTFL .0006 very interesting - vantillian https://t.co/0CaUwuLOxF,0.65,0.65,2016-10-14 14:45:47
674,"$GOOG $GOOGL $FB:

3 Reasons a Snapchat IPO Is a Smart Move:

https://t.co/UXb4XGVeRH",0.214285714286,0.642857142857,2016-10-14 23:11:04
386,RT @CNNMoney: Meet Google Home: @Google's voice-controlled smart speaker. https://t.co/sob67CrD4P #GoogleHome $GOOGL @cnntech https://t.co/…,0.214285714286,0.642857142857,2016-10-16 15:53:28
136,$GOOGL is so strong right now and a weekly flag developing,0.359523809524,0.634523809524,2016-10-17 14:24:52
852,"#Google Kicks off Plan to Bring Free #Internet Access to One Billion New Users
https://t.co/q20hBtYq4r

$GOOGL #stocks #stockmarket",0.268181818182,0.627272727273,2016-10-14 12:17:19
517,The Little Book That Makes You Rich by Louis Navellier: https://t.co/iYi1sYEvIO #growth #investing $AAPL $TSLA $NFLX $GOOGL $HD $L $T,0.09375,0.625,2016-10-15 17:03:55
509,$Googl got the steps wrong. first u acquire $Twtr THEN u fix it. https://t.co/p4YNI3pw8B,-0.125,0.616666666667,2016-10-15 17:48:09
550,The Love Story Is Over for Twitter Inc (TWTR) https://t.co/Bvz5Fb40Ht $TWTR $CRM $GOOGL $GOOG $FB $SQ #Twitter https://t.co/P9q7XZQUqY,0.5,0.6,2016-10-15 14:23:04
170,$GOOGL vantillian: Good morning - vantillian https://t.co/0ZheMlpGMj,0.7,0.6,2016-10-17 13:46:06
90,CNNMoney: How much would you pay to own a piece of amazon or google?  https://t.co/Z4OAkI7dLT $AMZN $GOOGL,0.4,0.6,2016-10-17 15:11:52
69,RT @CNNMoney: How much would you pay to own a piece of @amazon or @google?  https://t.co/TeRxNdXjXd $AMZN $GOOGL,0.4,0.6,2016-10-17 15:57:21
549,The Love Story Is Over for Twitter Inc (TWTR) https://t.co/wC8Q4RQiyq $TWTR $CRM $GOOGL $GOOG $FB $SQ #Twitter https://t.co/HKkc8JrFtc,0.5,0.6,2016-10-15 14:23:04
544,$WFC Why the Wells Fargo scandal is different https://t.co/6Vca21wGko $SPY $QQQ $IWM $AAPL $AMZN $GOOG $GOOGL $FB $NFLX $TWTR #stockmarket,0.0,0.6,2016-10-15 14:52:00
92,How much would you pay to own a piece of amazon or google?  https://t.co/jGiHxKr0Oi $AMZN $GOOGL #sgd #php #rates… https://t.co/wHOwbZxc16,0.4,0.6,2016-10-17 15:08:59
